,domain,bundle,demand_side_revenue,auctions,week,weekCount
301,lordbyronskitchen.com,,0.006746,3,12,1
302,lakers-rumors.com,,0.006746,1,12,1
303,1055672607,,0.0066150594,11,12,1
304,spinner boost_medium_300x250,,0.0065330729999999995,77,12,1
305,appraisersforum.com,,0.0063650799999999995,4,12,1
306,liveinthestands.com,,0.0063650799999999995,3,12,1
307,thermofisher.com,,0.0063650799999999995,9,12,1
308,officesupply.com,,0.0063650799999999995,10,12,1
309,killerfrogs.com,,0.006311112,81,12,1
310,machinerypete.com,,0.006311112,29,12,1
311,crucial.com,,0.006311112,3,12,1
312,mafiamods.com,,0.006311112,7,12,1
313,8thcivic.com,,0.006311112,77,12,1
314,forebodiesonly.com,,0.006311112,7,12,1
315,familyconsumersciences.com,,0.006311112,66,12,1
316,coloring-page.net,,0.006311112,15,12,1
317,neatorama.com,,0.006311112,782,12,1
318,littleapplepost.com,,0.006311112,1,12,1
319,arsenalfantv.com,,0.006311112,1,12,1
320,www.atlanticbb.net,,0.006311112,37,12,1
321,1041wdlt.com,,0.006311112,1,12,1
322,howtonetworking.com,,0.006311112,5,12,1
323,bigteams.com,,0.006311112,69,12,1
324,donaldjtrump.com,,0.006311112,3,12,1
325,satview.org,,0.006311112,40,12,1
326,thiscrush.com,,0.006311112,59,12,1
327,www.chatib.us,,0.006311112,30,12,1
328,sacurrent.com,,0.006311112,5,12,1
329,thejewishlady.com,,0.006311112,23,12,1
330,amtrak.com,,0.006311112,3,12,1
331,dripchord.com,,0.006311112,1,12,1
332,socialsecurityintelligence.com,,0.006311112,1,12,1
333,am-autoparts.com,,0.006311112,2,12,1
334,sideshowcollectors.com,,0.006311112,16,12,1
335,mrdowling.com,,0.006311112,122,12,1
336,freeprettythingsforyou.com,,0.006311112,25,12,1
337,gurutotheoutdoors.com,,0.006311112,6,12,1
338,genlookups.com,,0.006311112,19,12,1
339,allfreeslowcookerrecipes.com,,0.006311112,141,12,1
340,elle.com.tr,,0.006295134,1,12,1
341,nba.co.jp,,0.006295134,38,12,1
342,jolynneshane.com,,0.006231547,35,12,1
343,coupleeatsfood.com,,0.006216,24,12,1
344,josegutierrezproducciones.com,,0.0061752286,40,12,1
345,kingpet.com,,0.0061752286,767,12,1
346,factswt.com,,0.0061752286,861,12,1
347,Aigaforum.com,,0.0061752286,3254,12,1
348,celebitchy.com,,0.0061752286,7572,12,1
349,7daygmdiet.com,,0.0061752286,1,12,1
350,hawaii-guide.com,,0.0061752286,269,12,1
351,homedesigninspired.com,,0.006112852,69,12,1
352,rapid-racer.com,,0.006112852,11,12,1
